Word1,Word2,Head,Order_Candidates
가상,가객,1,"[('가가객', [0, 1, 1, 1, 0, 0]), ('가상객', [0, 1, 2, 1, 0, 0])]"
쏘가리,스탬프,1,"[('쏘가프', [1, 0, 3, 0, 0, 0]), ('쏘탬프', [1, 0, 3, 0, 0, 0]), ('쏘가탬프', [1, 1, 2, 0, 0, 0]), ('쏘스탬프', [1, 1, 2, 0, 0, 0]), ('쏘가리프', [1, 1, 3, 0, 0, 0])]"
핼러윈,네뷸러,1,"[('핼러러', [1, 0, 3, 0, 0, 0]), ('핼뷸러', [1, 0, 3, 0, 0, 0]), ('핼네뷸러', [1, 1, 2, 0, 0, 0]), ('핼러뷸러', [1, 1, 2, 0, 0, 0]), ('핼러윈러', [1, 1, 3, 0, 0, 0])]"
돛살,파촐리,1,"[('돛촐리', [1, 0, 2, 0, 0, 0]), ('돛살리', [1, 0, 3, 0, 0, 0]), ('돛파촐리', [1, 1, 1, 0, 0, 0]), ('돛살촐리', [1, 1, 3, 0, 0, 0]), ('돛리', [1, 1, 3, 0, 0, 0])]"
촛대,꼽등이,1,"[('촛등이', [1, 0, 2, 0, 0, 0]), ('촛대이', [1, 0, 3, 0, 0, 0]), ('촛꼽등이', [1, 1, 1, 0, 0, 0]), ('촛이', [1, 1, 3, 0, 0, 0]), ('촛대등이', [1, 1, 3, 0, 0, 0])]"
뵈르네,가학,1,"[('뵈학', [1, 0, 3, 0, 0, 0]), ('뵈르학', [1, 1, 2, 0, 0, 0]), ('뵈가학', [1, 1, 2, 0, 0, 0]), ('뵈르가학', [1, 2, 1, 0, 0, 0]), ('뵈르네학', [1, 2, 2, 0, 0, 0])]"
